ENGINE_NAME,PMDE vNext
VERSION,V_NEXT
RUN_TIMESTAMP,20260511_153857
INPUT_FILE,D:/Tools/StockCodeMaster/01_nasdaq_TechnologyCodes-Semicoductor.csv
FILE_SYMBOL_COUNT,49
HARDCODED_SYMBOL_COUNT,0
FALLBACK_SYMBOL_COUNT,0
INPUT_WARNINGS,
FORCE_L2_ASSESSMENT,True
MACD_FAST,8
MACD_SLOW,12
MACD_SIGNAL,5
USE_LIVE_PRICE_FOR_DAILY,True
LIVE_PRICE_INTERVAL,1m
LIVE_PRICE_PERIOD,1d
LIVE_PRICE_PREPOST,False
DATA_PERIOD_1D,5y
DATA_PERIOD_4H,60d
DATA_PERIOD_1H,30d

TOTAL_SYMBOLS,49
SUCCESS_COUNT,49
FAILED,0
PRE_BULL_CROSSOVER,6,12.24%
BULL_STRUCTURE_SECURED,23,46.94%
EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,11,22.45%
BEAR_CROSSOVER_CONFIRMED,1,2.04%
BULL_STRUCTURE_PULLBACK_RISK,5,10.2%
STATUS_QUO_NO_CROSSOVER,2,4.08%
PRE_BEAR_CROSSOVER,1,2.04%
RUN_MODE,ADHOC_LIVE_VALIDATION

Symbol,Zone,L1_State,L1_Reason,L2_Hypothesis,Capital_Action,L2_MACD,L2_Confidence,L2_Indicators_Used,L3_Substantiation,PMDE_Explanation,Final_State,Momentum_State,Participation_State,Trend_Strength_State,Exhaustion_State,Volatility_State,EMA200,Latest_Price,EMA200_D_Pct,EMA200_Slope_Pct,EMA200_Slope_State,MACD_1H,SIGNAL_1H,HISTOGRAM_1H,MACD_4H,SIGNAL_4H,HISTOGRAM_4H,MACD_1D,SIGNAL_1D,HISTOGRAM_1D,PPO_1D,PPO_SIGNAL_1D,PPO_HISTOGRAM_1D,PPO_STATE_1D,RSI_1D,RSI_STATE_1D,ADX_1D,DI_PLUS_1D,DI_MINUS_1D,ADX_DIRECTION_1D,ADX_STRENGTH_1D,OBV_1D,OBV_STATE_1D,CMF_1D,CMF_STATE_1D,ATRP_1D,ATRP_RISK_1D,High_52W,Low_52W,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Price_Context_State
AAOI,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AAOI: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=161.0471%, slope=RISING. Extended support: PPO=BEARISH, RSI=61.1515, ADX=35.7985 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=11.3059% HIGH, 52W=NEAR_HIGH.","AAOI: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=161.0471%, slope=RISING. Extended support: PPO=BEARISH, RSI=61.1515, ADX=35.7985 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=11.3059% HIGH, 52W=NEAR_HIGH.",PRE_BULL_CROSSOVER,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BULLISH_STRONG,BULLISH,HIGH,70.8757,185.019,161.0471,38.15,RISING,2.5109,0.0535,2.4574,0.1759,0.1817,-0.0059,3.336,3.6173,-0.2813,2.0327,2.2486,-0.2159,BEARISH,61.1515,BULLISH,35.7985,24.5591,15.2369,BULLISH,STRONG,306450748.0,DISTRIBUTION,0.0433,NEUTRAL,11.3059,HIGH,191.87,12.557,-3.5706,1373.4331,NEAR_HIGH
AMAT,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_OR_GROW,BULLISH,HIGH,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMAT: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=49.1472%, slope=RISING. Extended support: PPO=BULLISH, RSI=66.8041, ADX=19.6385 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.754% MEDIUM, 52W=NEAR_HIGH.","AMAT: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=49.1472%, slope=RISING. Extended support: PPO=BULLISH, RSI=66.8041, ADX=19.6385 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.754% MEDIUM, 52W=NEAR_HIGH.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_WEAK,BULLISH,MEDIUM,298.4199,445.085,49.1472,8.4676,RISING,3.5451,3.1836,0.3615,5.9543,4.5813,1.373,6.554,4.5099,2.0442,1.5879,1.1066,0.4812,BULLISH,66.8041,BULLISH,19.6385,34.7818,17.3648,BULLISH,WEAK,246593292.0,ACCUMULATION,0.1481,ACCUMULATION,3.754,MEDIUM,446.62,152.5418,-0.3437,191.7791,NEAR_HIGH
AMBA,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_OR_GROW,BULLISH,HIGH,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMBA: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=20.372%, slope=FLAT. Extended support: PPO=BULLISH, RSI=80.1658, ADX=35.6856 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.1844% MEDIUM, 52W=MID_RANGE.","AMBA: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=20.372%, slope=FLAT. Extended support: PPO=BULLISH, RSI=80.1658, ADX=35.6856 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.1844% MEDIUM, 52W=MID_RANGE.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,MEDIUM,66.2654,79.765,20.372,0.1045,FLAT,0.6145,0.4227,0.1918,1.4294,1.3722,0.0572,2.422,2.2405,0.1815,3.3889,3.243,0.146,BULLISH,80.1658,BULLISH,35.6856,42.9706,8.739,BULLISH,STRONG,26306762.0,ACCUMULATION,0.3154,ACCUMULATION,4.1844,MEDIUM,96.69,48.3,-17.5044,65.1449,MID_RANGE
AMKR,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMKR: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=74.2516%, slope=RISING. Extended support: PPO=BEARISH, RSI=67.1687, ADX=25.9921 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=5.4572% HIGH, 52W=NEAR_HIGH.","AMKR: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=74.2516%, slope=RISING. Extended support: PPO=BEARISH, RSI=67.1687, ADX=25.9921 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=5.4572% HIGH, 52W=NEAR_HIGH.",PRE_BULL_CROSSOVER,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,44.6911,77.875,74.2516,15.2753,RISING,0.4678,0.3313,0.1365,0.6518,0.5335,0.1183,1.4483,1.5112,-0.0629,1.9763,2.1104,-0.1341,BEARISH,67.1687,BULLISH,25.9921,32.5191,19.5234,BULLISH,STRONG,136456570.0,ACCUMULATION,0.2584,ACCUMULATION,5.4572,HIGH,79.23,17.5809,-1.7102,342.9524,NEAR_HIGH
AOSL,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AOSL: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=45.0927%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.0286, ADX=50.1583 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=10.2421% HIGH, 52W=MID_RANGE.","AOSL: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=45.0927%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.0286, ADX=50.1583 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=10.2421% HIGH, 52W=MID_RANGE.",PRE_BULL_CROSSOVER,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,26.7553,38.82,45.0927,11.8835,RISING,-0.188,-0.3757,0.1877,-0.5732,-0.264,-0.3092,0.3991,0.9625,-0.5633,0.992,2.4049,-1.4129,BEARISH,54.0286,NEUTRAL,50.1583,30.4773,17.1601,BULLISH,STRONG,593358.0,ACCUMULATION,0.1359,ACCUMULATION,10.2421,HIGH,49.97,17.01,-22.3134,128.2187,MID_RANGE
ARM,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ARM: L1=REGIME_UNSTABLE; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=47.2371%, slope=RISING. Extended support: PPO=BEARISH, RSI=60.1265, ADX=36.9673 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=6.7657% HIGH, 52W=MID_RANGE.","ARM: L1=REGIME_UNSTABLE; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=47.2371%, slope=RISING. Extended support: PPO=BEARISH, RSI=60.1265, ADX=36.9673 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=6.7657% HIGH, 52W=MID_RANGE.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,145.3235,213.97,47.2371,8.9495,RISING,-0.6948,-0.8044,0.1096,1.011,1.624,-0.613,4.283,5.269,-0.986,2.0547,2.5832,-0.5285,BEARISH,60.1265,BULLISH,36.9673,34.2093,18.8221,BULLISH,STRONG,325258529.0,ACCUMULATION,0.1923,ACCUMULATION,6.7657,HIGH,239.5,100.02,-10.6597,113.9272,MID_RANGE
ASTI,BEAR_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ASTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-86.1446%, slope=FALLING. Extended support: PPO=BULLISH, RSI=52.8669, ADX=13.0181 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.1566% HIGH, 52W=MID_RANGE.","ASTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-86.1446%, slope=FALLING. Extended support: PPO=BULLISH, RSI=52.8669, ADX=13.0181 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.1566% HIGH, 52W=MID_RANGE.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_WEAK,NEUTRAL,HIGH,35.2938,4.8901,-86.1446,-16.0662,FALLING,0.0993,0.0589,0.0404,0.0044,-0.0387,0.0431,-0.0345,-0.0597,0.0252,-0.7667,-1.3323,0.5656,BULLISH,52.8669,NEUTRAL,13.0181,25.0877,19.975,BULLISH,WEAK,220968665.0,ACCUMULATION,0.0948,ACCUMULATION,13.1566,HIGH,9.87,1.1,-50.4549,344.5545,MID_RANGE
ATOM,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ATOM: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=84.7153%, slope=RISING. Extended support: PPO=BEARISH, RSI=57.931, ADX=40.0318 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=13.5769% HIGH, 52W=MID_RANGE.","ATOM: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=84.7153%, slope=RISING. Extended support: PPO=BEARISH, RSI=57.931, ADX=40.0318 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=13.5769% HIGH, 52W=MID_RANGE.",PRE_BULL_CROSSOVER,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,4.6612,8.61,84.7153,16.617,RISING,-0.0077,-0.0517,0.044,-0.0552,0.0309,-0.0861,0.2806,0.4079,-0.1272,3.3274,4.976,-1.6486,BEARISH,57.931,NEUTRAL,40.0318,34.473,21.061,BULLISH,STRONG,70182490.0,DISTRIBUTION,0.2313,ACCUMULATION,13.5769,HIGH,11.48,1.892,-25.0,355.074,MID_RANGE
AXTI,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AXTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=269.8095%, slope=RISING. Extended support: PPO=BULLISH, RSI=76.2719, ADX=38.3851 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.7574% HIGH, 52W=NEAR_HIGH.","AXTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=269.8095%, slope=RISING. Extended support: PPO=BULLISH, RSI=76.2719, ADX=38.3851 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.7574% HIGH, 52W=NEAR_HIGH.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,34.173,126.3751,269.8095,53.4311,RISING,2.7006,2.1088,0.5918,4.7157,4.1439,0.5717,6.7631,5.5689,1.1941,6.7696,5.9466,0.8229,BULLISH,76.2719,BULLISH,38.3851,35.9412,11.3979,BULLISH,STRONG,350169392.0,ACCUMULATION,0.3773,ACCUMULATION,9.7574,HIGH,130.47,1.24,-3.1386,10091.5402,NEAR_HIGH
BEEM,BEAR_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"BEEM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-5.8003%, slope=FALLING. Extended support: PPO=BEARISH, RSI=57.0524, ADX=31.4203 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.244% HIGH, 52W=MID_RANGE.","BEEM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-5.8003%, slope=FALLING. Extended support: PPO=BEARISH, RSI=57.0524, ADX=31.4203 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.244% HIGH, 52W=MID_RANGE.",BEAR_CROSSOVER_CONFIRMED,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,1.9639,1.85,-5.8003,-1.9245,FALLING,-0.0026,-0.0026,-0.0,-0.0024,0.0006,-0.003,0.0196,0.0297,-0.0101,1.0618,1.6228,-0.5609,BEARISH,57.0524,NEUTRAL,31.4203,23.1255,13.3805,BULLISH,STRONG,102949465.0,DISTRIBUTION,0.3418,ACCUMULATION,6.244,HIGH,4.04,1.335,-54.2079,38.5768,MID_RANGE
