symbol,timestamp,latest_price,l1_state,l1_reason,tactical_state,confidence,capital_action,message,indicators_used,data_fetch_timestamp,engine_mode
AISPW,2026-05-10T21:35:20.084569+00:00,0.98,REGIME_UNSTABLE,Full L2 assessment forced by settings,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,MEDIUM,WAIT_FOR_1D_CONFIRMATION,"AISPW: L1=REGIME_UNSTABLE; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI constructive; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=1.4144%, slope=RISING. Extended support: PPO=BEARISH, RSI=79.9607, ADX=17.1529 BULLISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0675% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
ARBEW,2026-05-10T21:35:45.921889+00:00,0.0738,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,HIGH,PROTECT_CAPITAL,"ARBEW: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (HIGH); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI weak; EMA200 structure weak; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-1.0179%, slope=FALLING. Extended support: PPO=BEARISH, RSI=6.4949, ADX=5.4703 BEARISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.1057% LOW, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
ARQQW,2026-05-10T21:35:48.534940+00:00,0.132,REGIME_UNSTABLE,Full L2 assessment forced by settings,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"ARQQW: L1=REGIME_UNSTABLE; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-53.5145%, slope=FALLING. Extended support: PPO=BULLISH, RSI=2.2902, ADX=95.623 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.5207% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
AUROW,2026-05-10T21:35:59.722667+00:00,0.2495,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"AUROW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-9.6586%, slope=FALLING. Extended support: PPO=BULLISH, RSI=6.0071, ADX=51.2575 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.1151% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
BKYI,2026-05-10T21:36:13.976456+00:00,5.22,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_WITH_RISK_CONTROL,"BKYI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV distribution; CMF distribution; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-27.7893%, slope=FALLING. Extended support: PPO=BULLISH, RSI=42.8294, ADX=23.6405 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=9.7579% HIGH, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
BNAIW,2026-05-10T21:36:23.129276+00:00,0.2775,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"BNAIW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-13.8223%, slope=FALLING. Extended support: PPO=BULLISH, RSI=21.9823, ADX=31.1325 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.3188% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
BNZIW,2026-05-10T21:36:25.222274+00:00,0.0148,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"BNZIW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI weak; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-2.9609%, slope=FALLING. Extended support: PPO=BULLISH, RSI=9.2644, ADX=19.9606 BEARISH/WEAK, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.0883% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
CCIXW,2026-05-10T21:36:37.841330+00:00,0.45,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_WITH_RISK_CONTROL,"CCIXW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-34.4213%, slope=FALLING. Extended support: PPO=BULLISH, RSI=46.5086, ADX=18.6807 BEARISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=15.4674% HIGH, 52W=MID_RANGE.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
DDI,2026-05-10T21:38:11.109180+00:00,11.6,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HIGH,HOLD_OR_GROW,"DDI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=24.5652%, slope=RISING. Extended support: PPO=BULLISH, RSI=84.5132, ADX=38.7786 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.0025% MEDIUM, 52W=NEAR_HIGH.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
DFSCW,2026-05-10T21:38:18.231303+00:00,0.0253,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,MEDIUM,HOLD_OR_GROW,"DFSCW: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI weak; ADX confirms bearish trend; EMA200 structure weak; price near 52-week low. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-47.2587%, slope=FALLING. Extended support: PPO=BULLISH, RSI=2.1698, ADX=79.8738 BEARISH/STRONG, OBV=NEUTRAL, CMF=NEUTRAL, ATRP=0.5925% LOW, 52W=NEAR_LOW.",EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,,
