ENGINE_NAME,PMDE vNext
VERSION,V_NEXT
RUN_TIMESTAMP,20260511_185852
INPUT_FILE,D:/Tools/StockCodeMaster/01_NASDAQ_Sector_Energy.csv
FILE_SYMBOL_COUNT,53
HARDCODED_SYMBOL_COUNT,0
FALLBACK_SYMBOL_COUNT,0
INPUT_WARNINGS,
FORCE_L2_ASSESSMENT,True
MACD_FAST,8
MACD_SLOW,12
MACD_SIGNAL,5
USE_LIVE_PRICE_FOR_DAILY,True
LIVE_PRICE_INTERVAL,1m
LIVE_PRICE_PERIOD,1d
LIVE_PRICE_PREPOST,False
DATA_PERIOD_1D,5y
DATA_PERIOD_4H,60d
DATA_PERIOD_1H,30d
ACTIVE_GENERIC_FACTS,EMA200|PRICE_CONTEXT|SESSION_CONTEXT

TOTAL_SYMBOLS,53
SUCCESS_COUNT,53
FAILED,0
EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,22,41.51%
PRE_BEAR_CROSSOVER,1,1.89%
BULL_STRUCTURE_SECURED,10,18.87%
INSUFFICIENT_HISTORY_FOR_BASELINE,4,7.55%
BULL_STRUCTURE_PULLBACK_RISK,7,13.21%
BEAR_CROSSOVER_CONFIRMED,5,9.43%
INSUFFICIENT_TECHNICAL_DATA,1,1.89%
PRE_BULL_CROSSOVER,1,1.89%
STATUS_QUO_NO_CROSSOVER,2,3.77%
RUN_MODE,ADHOC_LIVE_VALIDATION

Symbol,Zone,L1_State,L1_Reason,L2_Hypothesis,Capital_Action,L2_MACD,L2_Confidence,L2_Indicators_Used,L3_Substantiation,PMDE_Explanation,Final_State,Momentum_State,Participation_State,Trend_Strength_State,Exhaustion_State,Volatility_State,Session_State,Session_Change_Pct,Opening_Gap_Pct,Intraday_Change_Pct,Gap_State,EMA200,EMA200_Status,EMA200_Data_Points,EMA200_Reason,Latest_Price,EMA200_D_Pct,EMA200_Slope_Pct,EMA200_Slope_State,MACD_1H,SIGNAL_1H,HISTOGRAM_1H,MACD_4H,SIGNAL_4H,HISTOGRAM_4H,MACD_1D,SIGNAL_1D,HISTOGRAM_1D,PPO_1D,PPO_SIGNAL_1D,PPO_HISTOGRAM_1D,PPO_STATE_1D,RSI_1D,RSI_STATE_1D,ADX_1D,DI_PLUS_1D,DI_MINUS_1D,ADX_DIRECTION_1D,ADX_STRENGTH_1D,OBV_1D,OBV_STATE_1D,CMF_1D,CMF_STATE_1D,ATRP_1D,ATRP_RISK_1D,High_52W,Low_52W,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Price_Context_State
ACDC,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ACDC: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=21.5505%, slope=RISING. Extended support: PPO=BEARISH, RSI=51.8959, ADX=24.1588 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.7762% HIGH, 52W=MID_RANGE, Session=NORMAL 3.5285%.","ACDC: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=21.5505%, slope=RISING. Extended support: PPO=BEARISH, RSI=51.8959, ADX=24.1588 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.7762% HIGH, 52W=MID_RANGE, Session=NORMAL 3.5285%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,HIGH,NORMAL,3.5285,2.8529,0.6569,NO_GAP,5.6725,VALID,1001,,6.895,21.5505,5.0876,RISING,0.0249,0.0058,0.0191,-0.0755,-0.0765,0.001,-0.0009,0.0534,-0.0543,-0.0122,0.7541,-0.7663,BEARISH,51.8959,NEUTRAL,24.1588,25.0375,28.7014,BEARISH,WEAK,9761639.0,DISTRIBUTION,0.3188,ACCUMULATION,6.7762,HIGH,10.7,3.08,-35.5607,123.8636,MID_RANGE
ALP,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,PRE_BEAR_CROSSOVER,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ALP: L1=FORCED_L2_REVIEW; L2=PRE_BEAR_CROSSOVER (MEDIUM); Capital_Action=PROTECT_CAPITAL. The 1D MACD structure is still bullish, but deterioration is visible through lower timeframe or supporting indicators. Support profile: PPO bullish; OBV distribution; CMF distribution; EMA200 structure weak; high volatility risk; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-89.8665%, slope=FALLING. Extended support: PPO=BULLISH, RSI=41.8933, ADX=10.3067 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=14.6297% HIGH, 52W=MID_RANGE, Session=NORMAL 1.375%, Gap=GAP_DOWN -6.25%.","ALP: L1=FORCED_L2_REVIEW; L2=PRE_BEAR_CROSSOVER (MEDIUM); Capital_Action=PROTECT_CAPITAL. The 1D MACD structure is still bullish, but deterioration is visible through lower timeframe or supporting indicators. Support profile: PPO bullish; OBV distribution; CMF distribution; EMA200 structure weak; high volatility risk; opened with a bearish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-89.8665%, slope=FALLING. Extended support: PPO=BULLISH, RSI=41.8933, ADX=10.3067 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=14.6297% HIGH, 52W=MID_RANGE, Session=NORMAL 1.375%, Gap=GAP_DOWN -6.25%.",PRE_BEAR_CROSSOVER,BULLISH,OBV=DISTRIBUTION;CMF=DISTRIBUTION,BEARISH_WEAK,NEUTRAL,HIGH,NORMAL,1.375,-6.25,8.1333,GAP_DOWN,2.401,VALID,1256,,0.2433,-89.8665,-16.488,FALLING,-0.0019,-0.0025,0.0006,-0.0004,0.0007,-0.0011,-0.0031,-0.0044,0.0013,-1.2315,-1.7165,0.4849,BULLISH,41.8933,NEUTRAL,10.3067,19.1598,25.7842,BEARISH,WEAK,179267286.0,DISTRIBUTION,-0.5398,DISTRIBUTION,14.6297,HIGH,13.8,0.176,-98.237,38.2386,MID_RANGE
ANNA,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ANNA: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-28.6739%, slope=FALLING. Extended support: PPO=BULLISH, RSI=40.1142, ADX=16.0761 BEARISH/WEAK, OBV=ACCUMULATION, CMF=NEUTRAL, ATRP=19.1784% HIGH, 52W=MID_RANGE, Session=NORMAL 1.8634%.","ANNA: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-28.6739%, slope=FALLING. Extended support: PPO=BULLISH, RSI=40.1142, ADX=16.0761 BEARISH/WEAK, OBV=ACCUMULATION, CMF=NEUTRAL, ATRP=19.1784% HIGH, 52W=MID_RANGE, Session=NORMAL 1.8634%.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=NEUTRAL,BEARISH_WEAK,NEUTRAL,HIGH,NORMAL,1.8634,0.0,1.8634,NO_GAP,4.5986,VALID,1058,,3.28,-28.6739,-3.7557,FALLING,0.0167,0.0168,-0.0001,-0.0641,-0.0832,0.0192,-0.1862,-0.2049,0.0187,-5.1664,-5.4257,0.2594,BULLISH,40.1142,NEUTRAL,16.0761,23.8818,24.2195,BEARISH,WEAK,203452539.0,ACCUMULATION,-0.0328,NEUTRAL,19.1784,HIGH,11.65,2.31,-71.8455,41.9913,MID_RANGE
ANNAW,INSUFFICIENT_HISTORY,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,INSUFFICIENT_HISTORY_FOR_BASELINE,REVIEW_MANUALLY,BEARISH,LOW,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ANNAW: L1=FORCED_L2_REVIEW; L2=INSUFFICIENT_HISTORY_FOR_BASELINE (LOW); Capital_Action=REVIEW_MANUALLY. EMA200 requires at least 200 daily closes; 46 available. L2 tactical classification is withheld because the EMA200 baseline is not valid. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF distribution; EMA200 requires at least 200 daily closes; 46 available; price already extended upward today; opened with a bullish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 unavailable: EMA200 requires at least 200 daily closes; 46 available. Extended support: PPO=BULLISH, RSI=96.8015, ADX=24.3557 BULLISH/WEAK, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=2.9726% LOW, 52W=MID_RANGE, Session=EXTENDED_UP 35.3964%, Gap=GAP_UP 53.7217%.","ANNAW: L1=FORCED_L2_REVIEW; L2=INSUFFICIENT_HISTORY_FOR_BASELINE (LOW); Capital_Action=REVIEW_MANUALLY. EMA200 requires at least 200 daily closes; 46 available. L2 tactical classification is withheld because the EMA200 baseline is not valid. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF distribution; EMA200 requires at least 200 daily closes; 46 available; price already extended upward today; opened with a bullish gap. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 unavailable: EMA200 requires at least 200 daily closes; 46 available. Extended support: PPO=BULLISH, RSI=96.8015, ADX=24.3557 BULLISH/WEAK, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=2.9726% LOW, 52W=MID_RANGE, Session=EXTENDED_UP 35.3964%, Gap=GAP_UP 53.7217%.",INSUFFICIENT_HISTORY_FOR_BASELINE,BULLISH,OBV=ACCUMULATION;CMF=DISTRIBUTION,BULLISH_WEAK,BULLISH,LOW,EXTENDED_UP,35.3964,53.7217,-11.9211,GAP_UP,,INSUFFICIENT_HISTORY,46,EMA200 requires at least 200 daily closes; 46 available,0.3347,,,INSUFFICIENT_HISTORY,-0.0003,0.0001,-0.0004,-0.001,-0.0003,-0.0007,0.006,0.002,0.004,2.2858,0.7502,1.5357,BULLISH,96.8015,BULLISH,24.3557,97.3149,2.6851,BULLISH,WEAK,18634.0,ACCUMULATION,-0.812,DISTRIBUTION,2.9726,LOW,0.38,0.2472,-11.9211,35.3964,MID_RANGE
APA,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"APA: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; opened with a bullish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=26.5149%, slope=RISING. Extended support: PPO=BEARISH, RSI=45.763, ADX=18.6077 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.9343% MEDIUM, 52W=MID_RANGE, Session=NORMAL 3.8245%, Gap=GAP_UP 3.2058%.","APA: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Recovery is visible below the daily timeframe, but the support profile is not strong enough for an accumulation watch. Support profile: PPO bearish; OBV distribution; CMF accumulation; EMA200 structure supportive; opened with a bullish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=26.5149%, slope=RISING. Extended support: PPO=BEARISH, RSI=45.763, ADX=18.6077 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=4.9343% MEDIUM, 52W=MID_RANGE, Session=NORMAL 3.8245%, Gap=GAP_UP 3.2058%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,MEDIUM,NORMAL,3.8245,3.2058,0.5994,GAP_UP,29.1823,VALID,1256,,36.92,26.5149,7.3127,RISING,0.0329,-0.0502,0.0831,-0.4809,-0.4324,-0.0485,-0.3049,-0.0741,-0.2308,-0.7969,-0.2,-0.5968,BEARISH,45.763,NEUTRAL,18.6077,25.8745,35.2814,BEARISH,WEAK,311611357.0,DISTRIBUTION,0.2188,ACCUMULATION,4.9343,MEDIUM,45.3564,15.5043,-18.6003,138.1271,MID_RANGE
APC,INSUFFICIENT_HISTORY,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,INSUFFICIENT_HISTORY_FOR_BASELINE,REVIEW_MANUALLY,BULLISH,LOW,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"APC: L1=FORCED_L2_REVIEW; L2=INSUFFICIENT_HISTORY_FOR_BASELINE (LOW); Capital_Action=REVIEW_MANUALLY. EMA200 requires at least 200 daily closes; 61 available. L2 tactical classification is withheld because the EMA200 baseline is not valid. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 requires at least 200 daily closes; 61 available; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 unavailable: EMA200 requires at least 200 daily closes; 61 available. Extended support: PPO=BULLISH, RSI=70.9187, ADX=25.5743 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=2.9258% LOW, 52W=NEAR_HIGH, Session=NORMAL 1.1892%.","APC: L1=FORCED_L2_REVIEW; L2=INSUFFICIENT_HISTORY_FOR_BASELINE (LOW); Capital_Action=REVIEW_MANUALLY. EMA200 requires at least 200 daily closes; 61 available. L2 tactical classification is withheld because the EMA200 baseline is not valid. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 requires at least 200 daily closes; 61 available; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 unavailable: EMA200 requires at least 200 daily closes; 61 available. Extended support: PPO=BULLISH, RSI=70.9187, ADX=25.5743 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=2.9258% LOW, 52W=NEAR_HIGH, Session=NORMAL 1.1892%.",INSUFFICIENT_HISTORY_FOR_BASELINE,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,LOW,NORMAL,1.1892,0.879,0.3075,NO_GAP,,INSUFFICIENT_HISTORY,61,EMA200 requires at least 200 daily closes; 61 available,19.57,,,INSUFFICIENT_HISTORY,0.0948,0.0926,0.0022,0.1437,0.1242,0.0196,0.166,0.1287,0.0372,0.8792,0.6867,0.1925,BULLISH,70.9187,BULLISH,25.5743,26.849,7.6388,BULLISH,STRONG,811406.0,ACCUMULATION,0.1586,ACCUMULATION,2.9258,LOW,20.25,16.7645,-3.358,16.7346,NEAR_HIGH
AREC,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AREC: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF distribution; EMA200 structure weak; high volatility risk; price already extended upward today. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-3.981%, slope=FALLING. Extended support: PPO=BULLISH, RSI=53.8076, ADX=17.0908 BULLISH/WEAK, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=7.8922% HIGH, 52W=MID_RANGE, Session=EXTENDED_UP 8.9286%.","AREC: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF distribution; EMA200 structure weak; high volatility risk; price already extended upward today. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-3.981%, slope=FALLING. Extended support: PPO=BULLISH, RSI=53.8076, ADX=17.0908 BULLISH/WEAK, OBV=ACCUMULATION, CMF=DISTRIBUTION, ATRP=7.8922% HIGH, 52W=MID_RANGE, Session=EXTENDED_UP 8.9286%.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=DISTRIBUTION,BULLISH_WEAK,NEUTRAL,HIGH,EXTENDED_UP,8.9286,-0.4464,9.417,NO_GAP,2.5412,VALID,1256,,2.44,-3.981,-2.2868,FALLING,0.0226,0.0145,0.0081,0.0174,0.0113,0.0061,0.0129,0.0038,0.0091,0.5638,0.1661,0.3977,BULLISH,53.8076,NEUTRAL,17.0908,17.6812,15.8102,BULLISH,WEAK,359664725.0,ACCUMULATION,-0.1201,DISTRIBUTION,7.8922,HIGH,7.11,0.614,-65.6821,297.3941,MID_RANGE
ARLP,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,WAIT_FOR_1D_CONFIRMATION,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ARLP: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI weak; OBV distribution; CMF distribution; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=0.4586%, slope=RISING. Extended support: PPO=BEARISH, RSI=37.948, ADX=21.5504 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=2.7752% LOW, 52W=MID_RANGE, Session=NORMAL -1.7706%.","ARLP: L1=FORCED_L2_REVIEW; L2=EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE (MEDIUM); Capital_Action=WAIT_FOR_1D_CONFIRMATION. Bearish pressure is confirmed on 1D and 4H, while 1H is bullish. Support profile: PPO bearish; RSI weak; OBV distribution; CMF distribution; EMA200 structure supportive. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=0.4586%, slope=RISING. Extended support: PPO=BEARISH, RSI=37.948, ADX=21.5504 BEARISH/WEAK, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=2.7752% LOW, 52W=MID_RANGE, Session=NORMAL -1.7706%.",EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,BEARISH,OBV=DISTRIBUTION;CMF=DISTRIBUTION,BEARISH_WEAK,BEARISH,LOW,NORMAL,-1.7706,0.4024,-2.1643,NO_GAP,24.2986,VALID,1256,,24.41,0.4586,0.6341,RISING,-0.1345,-0.1381,0.0036,-0.2195,-0.1493,-0.0702,-0.0926,-0.0424,-0.0503,-0.3689,-0.1688,-0.2001,BEARISH,37.948,BEARISH,21.5504,17.4179,28.0896,BEARISH,WEAK,38283650.0,DISTRIBUTION,-0.0988,DISTRIBUTION,2.7752,LOW,28.7584,20.6411,-15.1205,18.2594,MID_RANGE
BANL,BEAR_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BULL_STRUCTURE_PULLBACK_RISK,HOLD_WITH_RISK_CONTROL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"BANL: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-14.2743%, slope=FALLING. Extended support: PPO=BULLISH, RSI=47.7648, ADX=10.809 BEARISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=12.385% HIGH, 52W=MID_RANGE, Session=NORMAL -0.4752%.","BANL: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-14.2743%, slope=FALLING. Extended support: PPO=BULLISH, RSI=47.7648, ADX=10.809 BEARISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=12.385% HIGH, 52W=MID_RANGE, Session=NORMAL -0.4752%.",BULL_STRUCTURE_PULLBACK_RISK,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BEARISH_WEAK,NEUTRAL,HIGH,NORMAL,-0.4752,-0.6931,0.2193,NO_GAP,0.5863,VALID,786,,0.5026,-14.2743,-3.9945,FALLING,0.0004,-0.0001,0.0005,0.0034,0.004,-0.0006,0.0015,-0.0003,0.0017,0.2953,-0.0595,0.3548,BULLISH,47.7648,NEUTRAL,10.809,17.5765,20.8474,BEARISH,WEAK,27407264.0,ACCUMULATION,0.0854,ACCUMULATION,12.385,HIGH,1.05,0.277,-52.1333,81.444,MID_RANGE
BLDP,BULL_ZONE,FORCED_L2_REVIEW,Full L2 assessment forced by settings; L1 baseline stability not evaluated,BULL_STRUCTURE_PULLBACK_RISK,HOLD_WITH_RISK_CONTROL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"BLDP: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=60.1955%, slope=RISING. Extended support: PPO=BEARISH, RSI=63.8888, ADX=37.8397 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=7.7287% HIGH, 52W=MID_RANGE, Session=NORMAL 1.0896%.","BLDP: L1=FORCED_L2_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=60.1955%, slope=RISING. Extended support: PPO=BEARISH, RSI=63.8888, ADX=37.8397 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=7.7287% HIGH, 52W=MID_RANGE, Session=NORMAL 1.0896%.",BULL_STRUCTURE_PULLBACK_RISK,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,NORMAL,1.0896,-1.6465,2.7819,NO_GAP,2.6062,VALID,1256,,4.175,60.1955,8.5657,RISING,-0.0332,-0.0399,0.0067,0.0857,0.1232,-0.0375,0.1788,0.1742,0.0046,4.6089,4.6568,-0.0479,BEARISH,63.8888,BULLISH,37.8397,36.5465,18.9958,BULLISH,STRONG,-31106680.0,ACCUMULATION,0.1992,ACCUMULATION,7.7287,HIGH,4.86,1.24,-14.0946,236.6936,MID_RANGE
