Run_ID,Ticker,Signal_Date,Random_Sample_Row,Historical_Replay_Mode,Intraday_Replay_Status,Live_Quote_Replay_Status,Final_Decision,Final_Decision_Reason,Score,Score_Before_ETF,Score_After_ETF,Score_Invariance_Pass,Long_Term_Status,Entry_Timing_Status,Weekly_Trend,Trend_Score,Relative_Strength_Score,Breakout_Score,Freshness_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Close,RS_126D_Excess_Pct,ATR_Pct,Relative_Volume_20,Close_Location_Pct,ETF_Production_Eligible,ETF_Assumption,Same_Quarter_ETF_Mappings,ETF_Validation_As_Of_Dates,Score_Message,Primary_Episode,Prior_Non_Active_Session_Count,Forward_5D_Return_Pct,Benchmark_5D_Return_Pct,Benchmark_Adjusted_5D_Return_Pct,Forward_5D_Exit_Date,Forward_10D_Return_Pct,Benchmark_10D_Return_Pct,Benchmark_Adjusted_10D_Return_Pct,Forward_10D_Exit_Date,Forward_21D_Return_Pct,Benchmark_21D_Return_Pct,Benchmark_Adjusted_21D_Return_Pct,Forward_21D_Exit_Date
V8FULL_20260711T194644Z_3ed85d1_20260713,NVDA,2026-05-29,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,distribution cluster,40.0,40.0,40.0,True,Avoid,Wait - Daily Pullback Risk,Uptrend,30,8,4,12,-13,10,15,211.13999938964844,6.670260031312836,3.6979520228890714,1.7408990451783148,0.14850688233040174,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 16.77%,2026-05-29,,False,5,-4.927450903697606,-2.3578158631615276,-2.5696350405360784,2026-06-05,-4.885733785228707,-1.8017879707022177,-3.0839458145264893,2026-06-12,-7.249802855139964,-1.1372015975024796,-6.112601257637484,2026-06-30
V8FULL_20260711T194644Z_3ed85d1_20260713,AAPL,2026-04-07,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,weekly mixed | not outperforming benchmark SPY,35.0,35.0,35.0,True,Avoid,Clean,Mixed,22,0,4,12,3,10,5,253.5,-0.2589854412241577,2.3823604546119945,1.5276058192962365,74.28563539685146,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 15.25%,2026-05-29,,False,24,0.14702044778005519,2.671536677490849,-2.5245162297107937,2026-04-14,2.987038443054524,4.093792315340217,-1.1067538722856929,2026-04-21,11.243952867495022,8.492142284398074,2.7518105830969475,2026-05-06
V8FULL_20260711T194644Z_3ed85d1_20260713,MSFT,2026-04-27,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,20.0,20.0,20.0,True,Avoid,Clean,Downtrend,0,0,0,12,15,10,-10,424.82000732421875,-24.85385543140022,2.6976131012680846,0.9256607230171562,77.19140399404237,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 9.87%; VOOG 9.28%,2026-05-29,,False,38,-2.579082841023528,0.8696021996733361,-3.448685040696864,2026-05-04,-2.8051919487130483,3.860523754038492,-6.66571570275154,2026-05-11,-2.8028343244220433,5.4283406269638235,-8.231174951385867,2026-05-27
V8FULL_20260711T194644Z_3ed85d1_20260713,TSLA,2026-04-30,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly mixed | not outperforming benchmark SPY | distribution cluster,20.0,20.0,20.0,True,Avoid,Clean,Mixed,0,0,0,12,-5,10,5,381.6300048828125,-21.73533340336625,3.804919610690658,0.7524640597716576,81.18216137516957,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VCR 17.67%,2026-05-29,,False,41,7.660335971823207,1.4322380713821525,6.228097900441054,2026-05-07,15.898454629186954,3.732406642655972,12.166047986530982,2026-05-14,8.729644043227736,5.17018759477903,3.5594564484487066,2026-06-01
V8FULL_20260711T194644Z_3ed85d1_20260713,AMZN,2026-04-09,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,weekly downtrend | distribution cluster,19.0,19.0,19.0,True,Avoid,Clean,Downtrend,0,4,8,12,-5,10,-10,233.64999389648438,3.7395861219002846,2.903916824105878,1.5046659123286814,98.57541146568438,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VCR 22.14%,2026-05-29,,False,26,6.119844330523394,2.9853762698375252,3.134468060685869,2026-04-16,8.406289214941465,3.9819768377801656,4.424312377161299,2026-04-23,15.886098231711943,8.263369222647432,7.622729009064511,2026-05-08
V8FULL_20260711T194644Z_3ed85d1_20260713,META,2026-04-09,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,12.0,12.0,12.0,True,Avoid,Clean,Downtrend,0,0,0,12,0,10,-10,628.3900146484375,-13.489210325155332,3.7441489585631196,1.0330582553812984,37.17251481681034,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VOX 22.12%,2026-05-29,,False,26,6.682747233422948,2.9853762698375252,3.6973709635854224,2026-04-16,3.8898694738203066,3.9819768377801656,-0.09210736395985908,2026-04-23,-3.915073520782175,8.263369222647432,-12.178442743429606,2026-05-08
V8FULL_20260711T194644Z_3ed85d1_20260713,GOOGL,2026-05-06,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,MOMENTUM_ACTIVE,all confirmation gates passed,100.0,100.0,100.0,True,Momentum Candidate,Clean,Uptrend,30,25,20,12,0,10,15,398.0400085449219,32.90454258787394,2.5674023208443075,1.1527273008431034,74.47110728505326,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VOX 14.10%,2026-05-29,Quarter-assumption ETF mappings: VOX 14.10%.,False,0,0.6751304257847535,0.9876892573556173,-0.31255883157086384,2026-05-13,-2.7530529595800046,0.8434817100871239,-3.5965346696671285,2026-05-20,-7.849073213263857,0.3401129231368927,-8.18918613640075,2026-06-05
V8FULL_20260711T194644Z_3ed85d1_20260713,COST,2026-04-09,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,MOMENTUM_ACTIVE,all confirmation gates passed,100.0,100.0,100.0,True,Momentum Candidate,Clean,Uptrend,30,21,20,12,15,10,15,1032.030029296875,11.20226513408591,1.655266841081548,0.8717017737516383,64.77735549378865,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VDC 11.81%,2026-05-29,Quarter-assumption ETF mappings: VDC 11.81%.,False,0,-3.8285050724387815,2.9853762698375252,-6.813881342276307,2026-04-16,-1.181674291279644,3.9819768377801656,-5.16365112905981,2026-04-23,-1.7262405207648324,8.263369222647432,-9.989609743412265,2026-05-08
V8FULL_20260711T194644Z_3ed85d1_20260713,WMT,2026-05-27,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,not outperforming benchmark SPY,35.0,35.0,35.0,True,Avoid,Wait - Daily Pullback Risk,Uptrend,22,0,4,12,5,10,15,118.54000091552734,-1.321195302661172,2.8356925982378325,1.1000614546936802,35.97123881662001,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VDC 14.46%,2026-05-29,,False,4,-1.7400804562501149,0.5318214241086361,-2.271901880358751,2026-06-03,1.3702061751534877,-3.308231566040487,4.678437741193974,2026-06-10,-2.748820333080537,-2.833723394285237,0.0849030612046997,2026-06-26
V8FULL_20260711T194644Z_3ed85d1_20260713,PANW,2026-05-19,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,weekly mixed,45.0,45.0,45.0,True,Avoid,Clean,Mixed,12,8,8,12,7,7,5,240.1300048828125,7.796527328897284,4.323253732839071,1.4275018846436325,4.938296975986684,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,HACK 9.65%,2026-06-30,,False,54,5.190294296755638,2.0048659878862063,3.1854283088694313,2026-05-27,18.720623472772637,2.5186510592902334,16.2019724134824,2026-06-03,21.832263917548154,1.4992276756192746,20.33303624192888,2026-06-18
