ENGINE_NAME,PMDE vNext
VERSION,V_NEXT
RUN_TIMESTAMP,20260511_152215
INPUT_FILE,D:/Tools/StockCodeMaster/01_nasdaq_TechnologyCodes-Semicoductor.csv
FILE_SYMBOL_COUNT,49
HARDCODED_SYMBOL_COUNT,0
FALLBACK_SYMBOL_COUNT,0
INPUT_WARNINGS,
FORCE_L2_ASSESSMENT,True
MACD_FAST,8
MACD_SLOW,12
MACD_SIGNAL,5
DATA_PERIOD_1D,5y
DATA_PERIOD_4H,60d
DATA_PERIOD_1H,30d

TOTAL_SYMBOLS,49
SUCCESS_COUNT,49
FAILED,0
PRE_BULL_CROSSOVER,13,26.53%
BULL_STRUCTURE_SECURED,23,46.94%
BEAR_CROSSOVER_CONFIRMED,2,4.08%
BULL_STRUCTURE_PULLBACK_RISK,7,14.29%
STATUS_QUO_NO_CROSSOVER,1,2.04%
EARLY_RECOVERY_INSIDE_BEAR_STRUCTURE,3,6.12%
RUN_MODE,ADHOC_LIVE_VALIDATION

Symbol,Zone,L1_State,L1_Reason,L2_Hypothesis,Capital_Action,L2_MACD,L2_Confidence,L2_Indicators_Used,L3_Substantiation,Final_State,Momentum_State,Participation_State,Trend_Strength_State,Exhaustion_State,Volatility_State,EMA200,Latest_Price,EMA200_D_Pct,EMA200_Slope_Pct,EMA200_Slope_State,MACD_1H,SIGNAL_1H,HISTOGRAM_1H,MACD_4H,SIGNAL_4H,HISTOGRAM_4H,MACD_1D,SIGNAL_1D,HISTOGRAM_1D,PPO_1D,PPO_SIGNAL_1D,PPO_HISTOGRAM_1D,PPO_STATE_1D,RSI_1D,RSI_STATE_1D,ADX_1D,DI_PLUS_1D,DI_MINUS_1D,ADX_DIRECTION_1D,ADX_STRENGTH_1D,OBV_1D,OBV_STATE_1D,CMF_1D,CMF_STATE_1D,ATRP_1D,ATRP_RISK_1D,High_52W,Low_52W,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Price_Context_State,PMDE_Explanation
AAOI,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AAOI: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=158.1479%, slope=RISING. Extended support: PPO=BEARISH, RSI=60.6695, ADX=35.7985 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=11.4363% HIGH, 52W=NEAR_HIGH.",PRE_BULL_CROSSOVER,BEARISH,OBV=DISTRIBUTION;CMF=NEUTRAL,BULLISH_STRONG,BULLISH,HIGH,70.8547,182.91,158.1479,38.1091,RISING,1.0673,-1.1796,2.2469,0.0364,0.1353,-0.0988,3.1918,3.5692,-0.3774,1.9487,2.2206,-0.2719,BEARISH,60.6695,BULLISH,35.7985,24.5591,15.2369,BULLISH,STRONG,305986525.0,DISTRIBUTION,0.037,NEUTRAL,11.4363,HIGH,191.87,12.557,-4.6698,1356.6377,NEAR_HIGH,"AAOI: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=158.1479%, slope=RISING. Extended support: PPO=BEARISH, RSI=60.6695, ADX=35.7985 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=NEUTRAL, ATRP=11.4363% HIGH, 52W=NEAR_HIGH."
AMAT,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_OR_GROW,BULLISH,HIGH,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMAT: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=48.4556%, slope=RISING. Extended support: PPO=BULLISH, RSI=66.346, ADX=19.6385 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.7717% MEDIUM, 52W=NEAR_HIGH.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_WEAK,BULLISH,MEDIUM,298.399,442.99,48.4556,8.4601,RISING,3.3757,2.9815,0.3943,5.8124,4.534,1.2784,6.4108,4.4621,1.9487,1.5544,1.0955,0.4589,BULLISH,66.346,BULLISH,19.6385,34.7818,17.3648,BULLISH,WEAK,246347460.0,ACCUMULATION,0.1382,ACCUMULATION,3.7717,MEDIUM,446.62,152.5418,-0.8128,190.4057,NEAR_HIGH,"AMAT: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=48.4556%, slope=RISING. Extended support: PPO=BULLISH, RSI=66.346, ADX=19.6385 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.7717% MEDIUM, 52W=NEAR_HIGH."
AMBA,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_OR_GROW,BULLISH,HIGH,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMBA: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=20.0216%, slope=FLAT. Extended support: PPO=BULLISH, RSI=79.9777, ADX=35.6856 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.1967% MEDIUM, 52W=MID_RANGE.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,MEDIUM,66.2631,79.53,20.0216,0.101,FLAT,0.5035,0.3275,0.176,1.4133,1.3669,0.0465,2.4059,2.2351,0.1708,3.3682,3.236,0.1321,BULLISH,79.9777,BULLISH,35.6856,42.9706,8.739,BULLISH,STRONG,26268059.0,ACCUMULATION,0.3101,ACCUMULATION,4.1967,MEDIUM,96.69,48.3,-17.7474,64.6584,MID_RANGE,"AMBA: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (HIGH); Capital_Action=HOLD_OR_GROW. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=20.0216%, slope=FLAT. Extended support: PPO=BULLISH, RSI=79.9777, ADX=35.6856 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=4.1967% MEDIUM, 52W=MID_RANGE."
AMKR,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AMKR: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=73.8339%, slope=RISING. Extended support: PPO=BEARISH, RSI=66.9792, ADX=25.9921 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=5.4705% HIGH, 52W=NEAR_HIGH.",PRE_BULL_CROSSOVER,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,44.6892,77.685,73.8339,15.2704,RISING,0.4188,0.2667,0.1521,0.6388,0.5292,0.1096,1.4353,1.5069,-0.0716,1.9593,2.1047,-0.1454,BEARISH,66.9792,BULLISH,25.9921,32.5191,19.5234,BULLISH,STRONG,136367576.0,ACCUMULATION,0.2564,ACCUMULATION,5.4705,HIGH,79.23,17.5809,-1.95,341.8717,NEAR_HIGH,"AMKR: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=73.8339%, slope=RISING. Extended support: PPO=BEARISH, RSI=66.9792, ADX=25.9921 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=5.4705% HIGH, 52W=NEAR_HIGH."
AOSL,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AOSL: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=46.0136%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.3853, ADX=50.1583 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=10.1766% HIGH, 52W=MID_RANGE.",PRE_BULL_CROSSOVER,BEARISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,26.7578,39.07,46.0136,11.8939,RISING,-0.263,-0.4707,0.2077,-0.5561,-0.2583,-0.2978,0.4162,0.9682,-0.5519,1.0335,2.4187,-1.3852,BEARISH,54.3853,NEUTRAL,50.1583,30.4773,17.1601,BULLISH,STRONG,573313.0,ACCUMULATION,0.1384,ACCUMULATION,10.1766,HIGH,49.97,17.01,-21.8131,129.6884,MID_RANGE,"AOSL: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=46.0136%, slope=RISING. Extended support: PPO=BEARISH, RSI=54.3853, ADX=50.1583 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=10.1766% HIGH, 52W=MID_RANGE."
ARM,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ARM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=45.657%, slope=RISING. Extended support: PPO=BEARISH, RSI=59.1293, ADX=36.9673 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.8402% HIGH, 52W=MID_RANGE.",BEAR_CROSSOVER_CONFIRMED,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,145.3003,211.64,45.657,8.9321,RISING,-0.9673,-0.8865,-0.0807,0.8517,1.5709,-0.7192,4.1237,5.2159,-1.0923,1.9817,2.5588,-0.5771,BEARISH,59.1293,NEUTRAL,36.9673,34.2093,18.8221,BULLISH,STRONG,314899891.0,DISTRIBUTION,0.1797,ACCUMULATION,6.8402,HIGH,239.5,100.02,-11.6326,111.5977,MID_RANGE,"ARM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=45.657%, slope=RISING. Extended support: PPO=BEARISH, RSI=59.1293, ADX=36.9673 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.8402% HIGH, 52W=MID_RANGE."
ASTI,BEAR_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ASTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-86.3713%, slope=FALLING. Extended support: PPO=BULLISH, RSI=52.1115, ADX=12.9377 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.3001% HIGH, 52W=MID_RANGE.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_WEAK,NEUTRAL,HIGH,35.293,4.81,-86.3713,-16.0681,FALLING,0.0775,0.0377,0.0398,-0.0011,-0.0405,0.0395,-0.04,-0.0615,0.0215,-0.8908,-1.3737,0.4829,BULLISH,52.1115,NEUTRAL,12.9377,24.662,20.0885,BULLISH,WEAK,220922168.0,ACCUMULATION,0.0913,ACCUMULATION,13.3001,HIGH,9.87,1.1,-51.2665,337.2727,MID_RANGE,"ASTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; OBV accumulation; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BEAR_ZONE, distance=-86.3713%, slope=FALLING. Extended support: PPO=BULLISH, RSI=52.1115, ADX=12.9377 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=13.3001% HIGH, 52W=MID_RANGE."
ATOM,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,PRE_BULL_CROSSOVER,ACCUMULATION_WATCH,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"ATOM: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=84.7153%, slope=RISING. Extended support: PPO=BEARISH, RSI=57.931, ADX=40.0318 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=13.5769% HIGH, 52W=MID_RANGE.",PRE_BULL_CROSSOVER,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,4.6612,8.61,84.7153,16.617,RISING,-0.0238,-0.073,0.0492,-0.0552,0.0309,-0.0861,0.2806,0.4079,-0.1272,3.3274,4.976,-1.6486,BEARISH,57.931,NEUTRAL,40.0318,34.473,21.061,BULLISH,STRONG,69959990.0,DISTRIBUTION,0.2312,ACCUMULATION,13.5769,HIGH,11.48,1.892,-25.0,355.074,MID_RANGE,"ATOM: L1=REGIME_UNSTABLE; L2=PRE_BULL_CROSSOVER (MEDIUM); Capital_Action=ACCUMULATION_WATCH. The 1D MACD structure is still bearish, but recovery is visible through lower timeframe or supporting indicators. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=84.7153%, slope=RISING. Extended support: PPO=BEARISH, RSI=57.931, ADX=40.0318 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=13.5769% HIGH, 52W=MID_RANGE."
AXTI,BULL_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BULL_STRUCTURE_SECURED,HOLD_WITH_RISK_CONTROL,BULLISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"AXTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=275.2602%, slope=RISING. Extended support: PPO=BULLISH, RSI=76.7903, ADX=38.3408 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.4961% HIGH, 52W=NEAR_HIGH.",BULL_STRUCTURE_SECURED,BULLISH,OBV=ACCUMULATION;CMF=ACCUMULATION,BULLISH_STRONG,BULLISH,HIGH,34.1923,128.31,275.2602,53.5176,RISING,2.4223,1.7968,0.6255,4.8408,4.1856,0.6552,6.8954,5.613,1.2823,6.8815,5.984,0.8975,BULLISH,76.7903,BULLISH,38.3408,35.7634,11.5348,BULLISH,STRONG,349439368.0,ACCUMULATION,0.3848,ACCUMULATION,9.4961,HIGH,129.43,1.24,-0.8653,10247.5804,NEAR_HIGH,"AXTI: L1=REGIME_UNSTABLE; L2=BULL_STRUCTURE_SECURED (MEDIUM); Capital_Action=HOLD_WITH_RISK_CONTROL. Bullish alignment is confirmed across the higher timeframes. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; price near 52-week high. MACD states: 1D=BULLISH, 4H=BULLISH, 1H=BULLISH; EMA200 zone=BULL_ZONE, distance=275.2602%, slope=RISING. Extended support: PPO=BULLISH, RSI=76.7903, ADX=38.3408 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=9.4961% HIGH, 52W=NEAR_HIGH."
BEEM,BEAR_ZONE,REGIME_UNSTABLE,Full L2 assessment forced by settings,BEAR_CROSSOVER_CONFIRMED,PROTECT_CAPITAL,BEARISH,MEDIUM,EMA200|PRICE_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP,"BEEM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-5.5481%, slope=FALLING. Extended support: PPO=BEARISH, RSI=57.4488, ADX=31.4203 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.2079% HIGH, 52W=MID_RANGE.",BEAR_CROSSOVER_CONFIRMED,BEARISH,OBV=DISTRIBUTION;CMF=ACCUMULATION,BULLISH_STRONG,NEUTRAL,HIGH,1.964,1.855,-5.5481,-1.922,FALLING,-0.0029,-0.0028,-0.0001,-0.0021,0.0007,-0.0028,0.02,0.0298,-0.0098,1.0799,1.6288,-0.5489,BEARISH,57.4488,NEUTRAL,31.4203,23.1972,13.422,BULLISH,STRONG,102965251.0,DISTRIBUTION,0.3433,ACCUMULATION,6.2079,HIGH,4.04,1.335,-54.0842,38.9513,MID_RANGE,"BEEM: L1=REGIME_UNSTABLE; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure weak; high volatility risk. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BEAR_ZONE, distance=-5.5481%, slope=FALLING. Extended support: PPO=BEARISH, RSI=57.4488, ADX=31.4203 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.2079% HIGH, 52W=MID_RANGE."
