Test_Run_Timestamp,Run_ID,Round_Label,Random_Seed,Requested_D_Date,D_Date,D1_Date,D2_Date,Ticker,D_Action_Status,D_Score,D_Long_Term_Status,D_Entry_Timing_Status,D_Classification_Reason,Criteria_Summary,Momentum_Selection_Rationale,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Weekly_Trend,Close_GT_EMA200,EMA_Stack_OK,EMA200_Slope_Pct_50D,RS_126D_Excess_Pct,Distribution_Days_50,ATR_Pct,Distance_From_52W_High_Pct,Return_5D_Pct,Return_10D_Pct,D_Close,D1_Open,D1_Close,D2_Open,D2_Close,Continuation_By_D2,Validation_Result,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status
2026-07-02T13:36:10,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,AEYE,Avoid,0,Avoid,Clean,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution cluster; ATR within hard cap; entry timing clean,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,0,0,0,0,7,-10,Downtrend,False,False,-17.4645175175974,-57.159199487219546,8.0,5.529653064588546,53.26418466952478,5.364509869446965,7.433376219696597,7.659999847412109,7.679999828338623,8.09000015258789,8.039999961853027,7.860000133514404,True,FLAG_REVIEW,15,5,OK
2026-07-02T13:36:11,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,AIFF,Avoid,20,Avoid,Wait - Daily Pullback Risk,below EMA200 | weekly mixed | not outperforming SPY,close below/equal EMA200; weekly mixed; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Daily Pullback Risk,Not Momentum: Avoid; reason: below EMA200 | weekly mixed | not outperforming SPY,0,0,0,15,0,5,Mixed,False,False,-3.974535581355476,-1.924231148530109,1.0,11.954106698811351,48.80636718004448,-2.525256113329255,-13.452917890566518,1.9299999475479126,1.9500000476837158,1.899999976158142,1.909999966621399,1.8899999856948853,True,FLAG_REVIEW,16,5,OK
2026-07-02T13:36:13,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,ASST,Avoid,8,Avoid,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming SPY,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Last Hour Bearish,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY,0,0,0,15,3,-10,Downtrend,False,False,-26.933990015300136,-43.29421482845669,2.0,7.744384096214454,93.93442583574561,12.977105198021444,-2.2809073484213127,16.280000686645508,15.979999542236328,15.460000038146973,15.40999984741211,15.920000076293945,False,PASS_AVOID,17,5,OK
2026-07-02T13:36:15,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,CDNS,Avoid,35,Avoid,Wait - Last Hour Bearish,weekly mixed | not outperforming SPY,close above EMA200; weekly mixed; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Last Hour Bearish,Not Momentum: Avoid; reason: weekly mixed | not outperforming SPY,0,0,20,10,10,5,Mixed,True,False,-1.405845333471345,-1.5779109344073339,6.0,3.625971234562522,5.724536488710564,7.561745951322463,7.023313402408715,354.8999938964844,358.0,356.8999938964844,356.0799865722656,362.70001220703125,True,FLAG_REVIEW,17,5,OK
2026-07-02T13:36:16,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,DOMO,Avoid,0,Avoid,Clean,below EMA200 | weekly downtrend | not outperforming SPY,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing clean,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY,0,0,0,0,3,-10,Downtrend,False,False,-25.12871435533085,-80.03766677445721,6.0,8.207724644076455,79.39315335200345,8.547007211720526,-4.27135868038312,3.809999942779541,3.880000114440918,3.9200000762939453,3.890000104904175,3.8399999141693115,True,FLAG_REVIEW,14,5,OK
2026-07-02T13:36:18,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,FNGR,Avoid,0,Avoid,Wait - Daily Pullback Risk,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution cluster; ATR within hard cap; entry timing Wait - Daily Pullback Risk,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,0,0,0,-13,3,-10,Downtrend,False,False,-11.749753619605919,-47.58738199183633,10.0,7.459262474131951,82.63461480267652,-8.787879955524103,-11.470586860331123,0.902999997138977,0.9100000262260437,0.8610000014305115,0.8370000123977661,0.8199999928474426,True,FLAG_REVIEW,13,5,OK
2026-07-02T13:36:20,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,HPAI,Avoid,0,Avoid,Wait - Daily Pullback Risk,below EMA200 | weekly downtrend | not outperforming SPY,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Daily Pullback Risk,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY,0,0,0,-8,0,-10,Downtrend,False,False,-19.698306913173013,-67.73353639577746,7.0,10.776397087366032,80.83333373069763,-19.580418297909695,-28.080050492851015,1.149999976158142,1.149999976158142,0.9900000095367432,0.9300000071525574,0.9860000014305115,False,PASS_AVOID,15,5,OK
2026-07-02T13:36:21,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,IBM,Avoid,0,Avoid,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming SPY,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Last Hour Bearish,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY,0,0,0,-8,10,-10,Downtrend,False,False,-5.040933969414008,-33.310014938332564,7.0,3.3951828412179723,30.52015705328497,-0.5988553825628906,-10.370838979547736,225.74000549316406,227.5,231.30999755859375,229.72999572753906,229.75999450683594,True,FLAG_REVIEW,17,5,OK
2026-07-02T13:36:23,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,ICHR,Downgraded - Wait,69,Watchlist Candidate,Wait - Intraday Selling,last 3H selling | 2+ bearish hourly candles | last 1H bearish,close above EMA200; EMA stack bullish; weekly uptrend; outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Intraday Selling,Not Momentum: Watchlist Candidate; reason: last 3H selling | 2+ bearish hourly candles | last 1H bearish,30,25,20,0,3,15,Uptrend,True,True,48.541959425477785,208.97255812844168,7.0,7.229052147902896,0.49539604252719094,13.776875344515416,10.668507099051826,72.51000213623047,72.72000122070312,71.2300033569336,74.66999816894531,74.41999816894531,True,FLAG_REVIEW,17,5,OK
2026-07-02T13:36:24,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,INOD,Avoid,12,Avoid,Clean,below EMA200 | weekly downtrend | not outperforming SPY,close below/equal EMA200; weekly downtrend; not outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing clean,Not Momentum: Avoid; reason: below EMA200 | weekly downtrend | not outperforming SPY,0,0,0,15,7,-10,Downtrend,False,False,-7.625415468299512,-43.201570457606884,5.0,6.281291734786751,50.44219597471999,16.420519232328235,-1.732523722370649,46.5099983215332,47.209999084472656,45.63999938964844,72.91999816894531,84.88999938964844,True,FLAG_REVIEW,17,5,OK
2026-07-02T13:36:26,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,IPGP,Avoid,48,Avoid,Wait - Last Hour Bearish,below EMA20 with deep 20D-high pullback | 2+ bearish hourly candles | last 1H bearish,close above EMA200; weekly uptrend; outperforming SPY 126D; distribution below hard cap; ATR within hard cap; entry timing Wait - Last Hour Bearish,Not Momentum: Avoid; reason: below EMA20 with deep 20D-high pullback | 2+ bearish hourly candles | last 1H bearish,22,8,0,0,3,15,Uptrend,True,False,16.36916041810137,11.284169487301199,7.0,9.325514731259455,34.57836115403523,-9.994701996569265,-18.127057511515932,101.94000244140625,102.25,101.52999877929688,105.0,104.48999786376953,True,FLAG_REVIEW,17,5,OK
